year,last,first,id,dept,rank,pub,publoc,publink,pubtype,deptid
2018,Harrington,Kyle,n100565,Virtual Technology & Design,Assistant Professor,FunImageJ: a Lisp framework for scientific image processing,Bioinformatics,https://academic.oup.com/bioinformatics/article/34/5/899/4587585,article,n9821
2018,Jones,Adam,n346873,Biological Sciences,Professor,Substantial differences in bias between single-digest and double-digest RAD-seq libraries: A case study,Molecular Ecology Resources,https://onlinelibrary.wiley.com/doi/abs/10.1111/1755-0998.12734,article,n6256
2018,Kolden,Crystal,n15307,"Forest, Rangeland & Fire Sciences",Assistant Professor,Accounting for disturbance history in models: using remote sensing to constrain carbon and nitrogen pool spin-up.,Ecological Applications,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1002/eap.1718,article,n49108
2018,Ma,Marshall (Xiaogang),n33091,Computer Science,Assistant Professor,"Linked Geoscience Data in practice: where W3C standards meet domain knowledge, data visualization and OGC standards",Earth Science Informatics,https://link.springer.com/article/10.1007%2Fs12145-017-0304-8,article,n9880
2018,Martin,Bryn,n78599,Biological Engineering,Assistant Professor,A Retrospective 2D Morphometric Analysis of Adult Female Chiari Type I Patients with Commonly Reported and Related Conditions,Frontiers in neuroanatomy,https://www.frontiersin.org/articles/10.3389/fnana.2018.00002/full,article,n13535
2018,Miller,Brant,pid54077,Curriculum & Instruction,Associate Professor,Indigenous cultural contexts for STEM experiences: snow snakes’ impact on students and the community,Cultural Studies of Science Education,https://doi.org/10.1007/s11422-016-9738-4,article,n1232
2018,Morishita,Don,n5921,Plant Sciences,Professor,Confirmation of Glyphosate-Resistant Kochia (Kochia scoparia) from Sugar Beet Fields in Idaho and Oregon,Weed Technology,https://www.cambridge.org/core/journals/weed-technology/article/confirmation-of-glyphosateresistant-kochia-kochia-scoparia-from-sugar-beet-fields-in-idaho-and-oregon/508C180DF2DB91E4A85005BC96E98625,article,n166226
2018,Murdoch,Brenda,n15954,Animal & Veterinary Science,Assistant Professor,A SNP resource for studying North American moose.,F1000Research,https://f1000research.com/articles/7-40/v1,article,n23012
2018,Olsen,Nora,n56467,Plant Sciences,Professor,The Impact of Retail Light Source on Greening of Russet Burbank Potato Tubers,American Journal of Potato Research,https://doi.org/10.1007/s12230-017-9616-y,article,n166226
2018,Peng,Ching-An,n428658,Biological Engineering,Professor,Enhanced astaxanthin accumulation in Haematococcus pluvialis using high carbon dioxide concentration and light illumination,Bioresource Technology,https://www.sciencedirect.com/science/article/pii/S0960852418302712?via%3Dihub,article,n13535
2018,Rachlow,Janet,pid990107,Fish and Wildlife Sciences,Professor,Unmanned aerial systems measure structural habitat features for wildlife across multiple scales,Methods in Ecology and Evolution,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/2041-210X.12919,article,n31372
2018,Rasco,Barbara,n8528,Food Science,Professor,"Quality Changes in Chum Salmon (Oncorhynchus keta) Caviar (ikura) Affected by Thermal Pasteurization, Storage Time, and Packaging Material",Journal of Aquatic Food Product Technology,https://www.tandfonline.com/doi/full/10.1080/10498850.2017.1417340,article,n29953
2018,Shreeve,Jean'ne,a381555586651555,Chemistry,Distinguished Professor,"A Safer Synthesis of 3,5-Bis(dinitromethyl)-1,2,4-triazole (BDT) and Its Mono and Di Salts: High-Performance Insensitive Energetic Materials","Propellants, Explosives, Pyrotechnics",https://onlinelibrary.wiley.com/doi/abs/10.1002/prep.201700163,article,n6506
2018,Son,Julie,pid57155,Movement Sciences,Associate Professor,Using outdoor adventure to enhance intrinsic motivation and engagement in science and physical activity: An exploratory study,Journal of Outdoor Recreation and Tourism,https://www.sciencedirect.com/science/article/pii/S2213078018300082?via%3Dihub,article,n7928
2018,Teague,Alexandra,n46345,English,Associate Professor,Bullets into Bells: Poets and Citizens Respond to Gun Violence in the U.S.,Beacon,https://bulletsintobells.com/,book,n41165
2018,Tonina,Daniele,n1138,Civil Engineering,Associate Professor,A hierarchical modelling framework for assessing physical and biochemical characteristics of a regulated river,Ecological Modelling,https://www.sciencedirect.com/science/article/pii/S0304380017304659?via%3Dihub,article,n22895
2018,Turpin,Zachary,n42305,English,Assistant Professor,Introduction to Walt Whitman's 'Manly Health and Training',Walt Whitman Review,https://ir.uiowa.edu/cgi/viewcontent.cgi?article=2205&context=wwqr,publication,n41165
2018,Vaughn,Margaret,n9735,Curriculum & Instruction,Associate Professor,Guided Reading Library,University of Idaho Library's Digital Collections,https://www.lib.uidaho.edu/digital/guidedreading/index.html,project,n1232
2018,Vierling,Lee,a2951795786855,Natural Resources and Society,Professor,Impacts of Airborne Lidar Pulse Density on Estimating Biomass Stocks and Changes in a Selectively Logged Tropical Forest,Remote Sensing,http://www.mdpi.com/2072-4292/9/10/1068,article,n39633
2018,Waits,Lisette,n1683,Fish and Wildlife Sciences,Distinguished Professor,"Assessment of genetic diversity, population structure, and gene flow of tigers (Panthera tigris tigris) across Nepal's Terai Arc Landscape",PLOS ONE,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0193495,article,n31372
2018,Xiao,Fangming,n2088850120,Plant Sciences,Associate Professor,Functional analysis of the seven in absentia ubiquitin ligase family in tomato: Analysis of SINA ubiquitin ligases in tomato,"Plant, Cell and Environment",https://onlinelibrary.wiley.com/doi/abs/10.1111/pce.13140,article,n166226
2019,Abdel-Rahim,Ahmed,n16259,Civil Engineering,Professor,Effects of Longitudinal Pavements Edgeline Condition on Driver Lane Deviation,Accidents Analysis and Prevention,https://doi.org/10.1016/j.aap.2019.03.011,Article,n22895
2019,Afatchao,Romuald K,pid990149,International Studies Program,"Associate Director, Martin Institute",Public Attitudes and Perceptions of Air Quality and Bluegrass Seed Residue Burning in Northern Idaho,,https://www.extension.uidaho.edu/publishing/pdf/RES/RES0166.pdf,Article,n118533
2019,Alves-Foss,Jim,pid990029,Computer Science ,Professor,Analysis of Web Browser Security Configuration Options,Transactions on Internet and Information Systems,https://doi.org/10.3837/tiis.2018.12.028,Article,n9880
2019,Amador,Julie,a5614418664795,Curriculum & Instruction ,Associate Professor,Lesson Planimation: Prospective Elementary Teachers' Interactions with Mathematics Curricula,Journal of Mathematics Teacher Education,https://doi.org/10.1007/s10857-017-9374-2,Article,n1232
2019,Barnes,Jason W,n18258,Physics,Associate Professor,The Cassini VIMS Archive of Titan: From Browse Products to Global Infrared Color Maps,Icarus,https://doi.org/10.1016/j.icarus.2018.09.017,Article,n4790
2019,Boschetti,Luigi,pid990115,"Forest, Rangeland and Fire Sciences",Professor,Global Patterns of Interannual Climate-fire Relationships,Global Change Biology,https://doi.org/10.1111/gcb.14405,Article,n49106
2019,Chen,Linda,n466104,Accounting,Assistant Professor,The Effects of Board Gender Diversity on a Firm's Risk Strategies,Accounting and Finance,https://doi.org/10.1111/acfi.12283,Article,n50930
2019,Cook,Stephen P,a3448863353855,"Entomology, Plant Pathology and Nematology",Professor,Anatomical Defences Against Bark Beetles Relate to Degree of Historical Exposure Between Species and are Allocated Independently of Chemical Defences Within Trees,"Plant, Cell and Evironment",https://doi.org/10.1111/pce.13449,Article,n436182
2019,Dalton,Joseph C,pid47633,Animal and Veterinary Science,Professor,Validation of 46 Loci Associated with Female Fertility Traits in Cattle,BMC Genomics,https://doi.org/10.1186/s12864-019-5935-3,Article,n23012
2019,Egan,Cate,n240174,Movement Science,Assistant Professor,Operationally Conceptualizing Physical Literacy: Results of a Delphi Study,Human Kinetics Journals,https://doi.org/10.1123/jtpe.2018-0202,Article,n7928
2019,Fan,Chao,n628487,Geography,Assistant Professor,Land Use and Socio-economic Determinants of Urban Forest Structure and Diversity,Landscape and Urban Planning,https://doi.org/10.1016/j.landurbplan.2018.09.012,Article,n9521
2019,Fox-Amato,Matthew,n57612,History,Assistant Professor,"Slavery, Photograpy and the Birth of Modern Visual Politics in America",Oxford University Press,https://global.oup.com/academic/product/exposing-slavery-9780190663933?cc=us&lang=en&#,Book,n40830
2019,Fu,Daolin,n144636,Plant Science,Assistant Professor,The Anther-specific CYP704B is Potentially Responsible for MSG26 male Sterility in Barley,Theoretical and Applied Genetics,https://doi.org/10.1007/s00122-019-03363-8,Article,n166226
2019,Harmon,Luke J,n12978,Biological Sciences,Professor,Macroevolutionary Diversification Rates Show Time Dependency,Proceedings of the National Academy of Sciences of the United States of America (PNAS),https://doi.org/10.1073/pnas.1818058116,Article,n6256
2019,Hodwitz,Omi,n111167,Sociology & Anthropology,Assistant Professor,NGO Intervention in Jihadist Conflicts: A Closer Look at Afghanistan and Somolia,Behavioral Sciences of Terrorism and Political Aggression,https://doi.org/10.1080/19434472.2018.1454973,Article,n1270
2019,Hubbs,Graham,n10127,Politics & Philosophy,Associate Professor,Anscombe on How St. Peter Intentionally did what He Intended Not to Do,American catholic Philosophical Quarterly,https://www.pdcnet.org/acpq/content/acpq_2019_0093_0001_0129_0145,Article,n13066
2019,Johnson,Tracey N,n42068,Fish & Wildlife Sciences,Assistant Professor,"Survey Design for Broad-Scale, Territory-based Occupancy Monitoring of a Raptor: Ferruginous Hawk (Buteo regalis) as a Case Study",PLOS One,https://doi.org/10.1371/journal.pone.0213654,Article,n31372
2019,Kelley,Jason,n94144,Soil & Water Systems,Assistant Professor,Using Neural Networks to Estimate Site-Specific Crop Evapotranspiration with Low-Cost Sensors,Agronomy,https://doi.org/10.3390/agronomy9020108,Article,n140645
2019,Kumar,Vikas,pid2b4445a8d3,Animal & Veterinary Science,Assistant Professor,"Effects of Dietary Supplementation with ?-glucan and Bacillus subtilis on Growth, Fillet Quality, Immune Capacity, and Antioxidant Status of Pengze Crucian Carp (Carassius auratus var. Pengze)",Aquaculture,https://doi.org/10.1016/j.aquaculture.2019.04.064,Article,n23012
2019,Ladino,Jennifer,n9813,English,Associate Professor,"Memorials Matter: Emotion, Environment and Public Memory at American Historical Sites",University of Nevada Press,http://www.unevadapress.com/books/?isbn=9781943859979,Book,n41165
2019,Langman,Jeff B,n114301,Geological Sciences,Assistant Professor,"Isotopic Discrimination of Aquifer Recharge Sources, Subsystem Connectivity and Flow Patterns in the South Fork Palouse River Basin, Idaho and Washington, USA",Hydrology,https://doi.org/10.3390/hydrology6010015,Article,n44652
2019,Locke,Kenneth D,pid990237,Psychology & Communication Studies,Professor,Development and Validation of a Circumplex Measure of the Interpersonal Culture in Work Teams and Organizations,Frontiers in Psychology,https://doi.org/10.3389/fpsyg.2019.00850,Article,n24981
2019,Minnich,Scott A,n1306295525,Food Science,Associate Professor,"Complete Genome Sequence of Broad-Host-Range Shiga Toxin-Converting Bactgeriophage SH2026Stx1, Isolated from Escherichia coli O157:H7",Microbiology Resource Announcements,https://mra.asm.org/content/6/25/e00490-18,Article,n29953
2019,Moberly,James,pid990022,Chemical & Materials Engineering,Assistant Professor,Determining the Reliability of Measuring Mercury Cycling Gene Abundance with Correlations with Mercury and Methylmercury Concentrations,Environmental Science and Technology,https://doi.org/10.1021/acs.est.8b06389,Article,n13454
2019,Paveglio,Travis,n142781,Natural Resources & Society,Assistant Professor,Exploring the Influence of Local Social Context on Strategies for Achieving Fire Adapted Communites,Fire,https://doi.org/10.3390/fire2020026,Article,n39633
2019,Scofield,Rebecca,n182053,History,Assistant Professor,"""Chaps and Scowls"": Play, Violence and the Post-1970s Urban Cowboy",The Journal of American Culture,https://onlinelibrary.wiley.com/doi/full/10.1111/jacc.12805,Article,n40830
2019,Shrestha,Dev Sagar,pid57545,Biological Engineering,Professor,Biofuel Impact on Food Prices Index and Land Use Change,Biomass and Bioenergy,https://doi.org/10.1016/j.biombioe.2019.03.003,Article,n13535
2019,Stephens,Robert R,pid990179,Mechanical Engineering,Professor,The Influence of Plasticity-induced Crack Closure on Creep-fatigue Crack Growth in two heat-resistant Steels,International Journal of Fatigue,https://doi.org/10.1016/j.ijfatigue.2019.04.007,Article,n6061
2019,Wai,Chien M,a3198638955,Chemistry,Professor,Visualization of endogenous hydrogen sulfide in living cells based on Au nanorods@silica enhanced fluorescence,Analytica Chimica Acta,https://doi.org/10.1016/j.aca.2018.12.008,Article,n6506
2019,Williams,Christopher,n832041266,Statistical Science,"Dept Chair, Professor",Comparison of the Vaginal Microbiomes of Premenopausal and Postmenopausal Women,Frontiers in Microbiology,https://doi.org/10.3389/fmicb.2019.00193,Article,n50414
2019,Wu,Sarah (Xiao),n116378,Biological Engineering,Assistant Professor,Non-airtight fermentation of sugar beet pulp with anaerobically digested dairy manure to provide acid-rich hydrolysate for mixotrophic microalgae cultivation,Bioresource Technology,https://doi.org/10.1016/j.biortech.2019.01.075,Article,n13535
