year,title,presenter,department,description,type,file,url,video
2024,Defining Deep Soil and Soil Carbon Vulnerability using GIS,Gabrielle Feber,"Environmental Science, University of Idaho","Soil is largely understudied, especially deep soil, and deep soil holds a substantial amount of carbon. GIS data can be used to define deep soil and soil carbon vulnerability by exploring the depth of understudied soil and amount of soil organic carbon in the U.S.",Short Talk,Feber_gisday_2024.pdf,,https://youtu.be/rOm4pzC-t4Y?feature=shared&t=14882
2024,Utilizing ESRIs Application Suite to Dynamically Collect and Report Environmental Sampling Data,Manda Wood; Susan Spalinger,"Alta Science & Engineering, Inc.","Under contract to Idaho DEQ, Alta Science and Engineering, Inc. sampled recreational locations around Coeur d'Alene Lake and the Spokane River for metals. Sampling followed specific protocols and included wet and dry sediments, soils, and water.  Alta will present why and how we used ArcGIS Pro, Field Maps on mobile devices, and Experience Builder for real-time sampling updates allowing for timely QA/QC feedback.",Short Talk,Wood_gisday_2024.pdf,,https://youtu.be/rOm4pzC-t4Y?feature=shared&t=14301
2024,The NW GIS User Group,Sam Jenkins,NW GIS User Group; City of Pullman,"In this presentation, I will introduce the NW GIS User Group, highlighting its role in fostering collaboration and knowledge-sharing among GIS professionals in the Pacific Northwest. We'll explore how the group supports skill development, networking, and the adoption of geospatial technologies through conferences, events, workshops, and resources.",Short Talk,Jenkins_gisday_2024.pdf,,https://youtu.be/rOm4pzC-t4Y?feature=shared&t=13595
2024,The Next Generation of GISers is Needed for 911,Pam Bond,Go West Geospatial Services,"GIS plays a critical role in public safety by supporting Next Generation 911 (NG911) systems. Learn why the skills of a GIS professional are vital to ensuring accurate, real-time data for emergency response, and how you could make a difference in saving lives and protecting property.",Short Talk,Bond_gisday_2024.pdf,,https://youtu.be/rOm4pzC-t4Y?feature=shared&t=13007
2024,Effective Web Mapping Applications with Open Source Software,Karsten Vennemann,Terra GIS LTD,"The presentation will show real-world web mapping applications that Terra GIS is managing. These include County web mapping servers for public use, such as assessor, treasurer, and planning departments, as well as the general public. Other examples include scientific and commercial projects that use a similar platform. All of these applications are built on open-source software, including OpenLayers, MapServer, and PostGIS.",Short Talk,,https://www.terragis.net/,https://youtu.be/rOm4pzC-t4Y?feature=shared&t=12376
2024,Integrating Computer Science with GIS: A Practical Approach from My Internship at Esri,Shashwot Niraula,"Computer Science, University of Idaho","In this talk, I'll share journal as a CS student to GIS, including my hands-on experiences from my internship at Esri, where I applied Computer Science principles to GIS. I'll cover how I utilized Google Colab for spatial analysis, demonstrating key projects and workflows I developed, and discuss how these practices can be used to enhance geospatial applications.",Short Talk,Niraula_gisday_2024.pdf,https://www.esri.com/arcgis-blog/products/api-python/developers/get-started-with-arcgis-api-for-python-in-google-colab/,https://youtu.be/rOm4pzC-t4Y?feature=shared&t=5848
2024,Appraising Rural Real Estate using LandValue Solutions integrated GIS Mapping, Ruby Miles Stroschein,LandValue Solutions,"GIS mapping plays a crucial role in appraising farmland, timberland, and special projects by providing spatial data on land boundaries, soil quality, and topography. These tools enable precise assessments for conservation easement and eminent domain road project appraisals, ensuring informed data for accurate analysis.",Short Talk,Stroschein_gisday_2024.pdf,,https://youtu.be/rOm4pzC-t4Y?feature=shared&t=4817
2024,Keeping Watch: Using GIS to assess conservation tillage practices and crop rotation on crop performance in Whitman County under drought and heat stress using remote sensing,Samiha Suhrah Ali,"Soil and Water Systems, University of Idaho","Crop insurance payments are crucial for farmers in the US and Washington, as they cover crop loss due to extreme weather events. The federal government and RMA subsidize the insurance program. If evidence shows progressive growers adopting conservation measures are more resilient, insurance premiums could be reduced, reducing expenses and encouraging widespread adoption.",Short Talk,Ali_gisday_2024.pdf,,https://youtu.be/rOm4pzC-t4Y?feature=shared&t=6406
2024,The best way to learn GIS,Edwin DeYoung,GIS Help,"There is a lot to learn to be successful in a GIS position. What is the best way to gain these skills?",Short Talk,DeYoung_gisday_2024.pdf,,https://youtu.be/rOm4pzC-t4Y?t=4241
2024,Aerial Timelapse Tool Survey,Andrew Weymouth,"University of Idaho Library","This presentation will explore tools for creating aerial time lapses, ranging from beginner friendly platforms like ArcGIS World Imagery Wayback to more advanced technical workflows using JavaScript and expansive datasets in Google Earth Engine. We'll discuss image mosaicking, exporting results, visualization considerations and overall image fidelity.",Short Talk,,https://indd.adobe.com/view/b44e37fa-8f53-454c-9103-e17d5fcd8a59,https://youtu.be/rOm4pzC-t4Y?t=3677
2024,"Journey Building the Idaho Map","Wilma Robertson, Megan Wheatley, and Bradley Bean","Office of Information Technology Services, State of Idaho","Presenters from State of Idaho discuss building The Idaho Map, a resource for accessing and viewing authoritative GIS data for Idaho.",Special Topic,,,https://youtu.be/rOm4pzC-t4Y?t=6843
2024,"Afternoon Panel: GIS Data Quality, Access, and Collaboration","Danielle Favreau (Idaho Department of Water Resources); Fred Gifford (National Democratic Redistricting Committee); Bill Neynolds (Nez Perce County)",,"A panel of presenters from across the geospatial community reflects on 25 years of GIS Day.",Panel Discussion,,,https://youtu.be/rOm4pzC-t4Y?t=8667
2024,"Morning Panel: GIS Education, Training, and Service","Jason Karl (University of Idaho); Keith Weber (Idaho State University); Frank Roberts (Mission Aviation Fellowship)",,"A panel of presenters from across the geospatial community reflects on 25 years of GIS Day.",Panel Discussion,,,https://youtu.be/rOm4pzC-t4Y
2024,"GIS Day @ U of I 2024 schedule",U of I Library,,"Web archive capture of GIS Day @ U of I page provides access to 2024 program and information.",Program,,https://perma.cc/8JDV-M3GU,
2023,"GeoAI for Science and the Science of GeoAI",Wenwen Li,"School of Geographical Sciences and Urban Planning, Arizona State University","AI, especially deep learning, has transformed many science and engineering disciplines because of its outstanding capabilities in learning and extracting new patterns and knowledge in a data-driven manner. Geospatial science is an ideal domain to extensively apply and further boost AI research because of its vast availability of diverse big data, intriguing and complex human-environmental interactions, as well as its central role in enabling location-based analysis. In less than a decade, we have witnessed a rapidly growing interest and progress of GeoAI research -- the transdisciplinary expansion of AI in geography and its sibling domains in spatial, environmental, and urban sciences. This talk will explore the trending research in GeoAI and discuss how the science of GeoAI can be advanced. It will also cover how GeoAI can advance scientific discovery, using the tracking of Arctic environmental change as a use study.",Keynote,,,https://youtu.be/MgHuBakVdrM
2023,"Revolutionizing Disaster Response: Unleashing the Power of GeoAI and Big Sensor Data",Qunying Huang,"Spatial Computing and Data Mining Lab, University of Wisconsin-Madison","The emergence of real-time voluminous data streams stemming from a multitude of physical and social sensors, including remote sensing, unmanned aerial systems, and social media, presents compelling opportunities for the comprehensive characterization of disaster scenarios, the development of innovative methods for damage assessment, and the facilitation of timely and informed decision-making in the face of natural calamities. Meanwhile, recent advances in artificial intelligence (AI), particularly deep learning (DL), have ushered in a new era of geospatial AI (GeoAI) applications with the capacity to quickly and accurately extract valuable insights from extensive geospatial datasets, approximating human-like cognition. The synthesis of big data and GeoAI holds the potential to rapidly establish situational awareness, thereby enhancing operational efficiencies and responsiveness in disaster response efforts. In light of these advancements, this talk delves into the multifaceted challenges, innovative solutions, and practical applications that synthesize big sensor data and GeoAI to extract vital information for guiding decision-making in the context of natural disasters.",Special Topic,qunying_huang_geoai_gisday2023.pdf,,https://youtu.be/WzCC9PNijZs
2023,"Land Change Analysis Tool (LCAT)",Phil Roberts,"FPAC GEO, USDA","In 2018, FPAC Geo developed the Land Change Analysis Tool (LCAT) to create high resolution landcover maps utilizing Artificial intelligence (AI) and machine learning technology. The team employs several geospatial and spatial data analysis tools using GIS software, scalable computation platforms, and geospatial scripting. For each state, a sampling strategy is developed by consulting local experts. Training datasets are generated by leveraging “crowdsourcing” throughout the GEO organization, USDA, and academia with a web-application. Imagery is then classified using a machine learning algorithm that models landcover based on the training datasets. Resulting maps are published and available for download internally and to the public. Our internal partners have been the primary drivers for this product but development of a nationwide high resolution landcover dataset is streamlining and enabling other agencies to explore innovative conservation and land management projects that save time and money. Expanding partnerships with internal and external groups creates a pipeline for talent while discovering new uses and applications for this dataset. Ultimately this high-resolution land cover product will be updated regularly as new NAIP imagery is acquired at 60, 30, & 15cm.",Special Topic,roberts_gisday2023.pdf,https://nrcsgeoservices.sc.egov.usda.gov/arcgis/rest/services/land_use_land_cover,https://youtu.be/rcoE18PPYcM?t=1784
2023,"Accessibility to Emergency Food Services using Public Transportation, in Seattle Washington",Adam Carlson,"Earth and Spatial Sciences, University of Idaho","In this study, we examine the current accessibility of food banks using public transportation to identify ways to help improve access to food resources for those who deal with food insecurity. To conduct this study, Seattle, WA was chosen as the study area, which we observed using general transit feed specification (GTFS) and ArcGIS to measure the time from accessible food services to the public transportation network of Seattle.",Short Talk,carlson_gisday2023.pdf,,https://youtu.be/rcoE18PPYcM
2023,"Finding the where of scholarly publishing: automating scientific article geolocation",Jason Karl,"Rangeland Ecology, University of Idaho","Geographic-based searching for scientific literature can improve knowledge discovery, relevance, and transfer. However, because most articles use place-name descriptions of study areas, there are significant challenges in efficiently building geolocated literature databases. Recent advances in AI tools offer new approaches to automating article geolocation.",Short Talk,karl_gisday2023.pdf,https://journalmap.org/,https://youtu.be/rcoE18PPYcM?t=662
2023,"Evaluating the combination of reflectances and three-dimensional point cloud from drone imagery for detecting forest insect damage",Abhinav Shrestha,"Earth and Spatial Sciences, University of Idaho","Presenting a novel approach of classifying the multispectral reflectances of point cloud (from drone-captured imagery) into damaged and healthy classes, retaining the height information for later assessment of the vertical distribution of damage within a tree. The results from this study demonstrate the utility of drone data for monitoring the vertical structure of tree damage from forest insects and diseases.",Short Talk,shrestha_gisday2023.pdf,,https://youtu.be/71AH3u_J9tQ
2023,"Improving streamflow prediction using satellite and in situ observations in the snake river basin",Ryan Town,"Earth and Spatial Sciences, University of Idaho","This project, focused on the Snake River Basin, seeks to improve streamflow modeling by testing and characterizing the effects of soil and vegetation parameters on the Noah-MP model, a widely-used and highly-advanced land surface model developed by the National Center for Atmospheric Research. Our research combines in-situ and remotely-sensed data with spatial data analysis, classic hydrological methods, and cutting-edge modeling techniques and hardware such as Idaho’s Falcon supercomputer in pursuit of meaningful contributions to the work of understanding our changing climate and the impacts it will have on the future of our human and natural ecosystems.",Short Talk,town_gisday2023.pdf,,https://youtu.be/71AH3u_J9tQ?t=836
2023,"Augmenting Virtual Lunar Terrain with Procedural and Machine Learning Models in Real-time","Jean-Marc Gauthier; F.B. Wróblewski","Virtual Technology and Design; Earth and Spatial Sciences, University of Idaho","NASA plans to send multiple crewed missions to the Lunar South Pole through the Artemis program. We propose to build visual and mathematical models of three candidate Artemis landing sites at the Moon’s south polar region with the goal of producing real-time visual and geographical 3D environments to assist in Artemis mission planning. We propose to use two pipelines to develop a fine-scale virtual landscape at higher visual and scientific resolutions than current satellite data to prepare landing sites, mission traverses, and training of the Artemis mission’s astronaut and personnel. We propose to use 1) geologic mapping and machine learning classification of craters and rocks to generate the virtual lunar surface with geological and cartographic information and 2) procedural content generation within Adobe Substance and Unreal Engine to build the virtual 3D environment.",Short Talk,gauthier_lunarterrain_gisday2023.pdf,,https://youtu.be/IyncFVCvsbg
2023,"A Virtual Forest for Experiential Learning - VR Classroom project","Jean-Marc Gauthier; Payton Finney; Sydney Tverdy; Heather Heward","Virtual Technology and Design; Forest Rangeland and Fire Sciences, University of Idaho","Using UIEF Lidar point cloud survey files, we recreate a virtual forest with healthy trees, burned, or dead trees. The team created and designed a procedural generated content system (PGC) using Artificial Intelligence and Machine Learning to recreate the virtual trees, ground, and ground cover for the virtual forest.",Short Talk,gauthier_virtualforest_gisday2023.pdf,,https://youtu.be/IyncFVCvsbg?t=1236
2023,"A twin like no other, rebuilding the IRIC in Unreal Engine 5","Jason Starace; Nate Summers","Computer Science, University of Idaho","Using GIS data, the Esri suite of tools, and Unreal Engine 5 to accurately represent the U of I campus and the IRIC building. In this environment, we plan to make a digital twin of the Assistive Robotics lab and share our work so that others may create their own twins.",Short Talk,starace_gisday2023.pdf,,https://youtu.be/IyncFVCvsbg?t=2572
2023,"GIS Day @ U of I 2023 schedule",U of I Library,,"Web archive capture of GIS Day @ U of I page provides access to 2023 program and information.",Program,,https://perma.cc/8M9M-SXZE,
2022,Using multi-temporal LiDAR to assess fire impacts on tree growth,Aaron Sparks,"Forest, Rangeland, and Fire Sciences, University of Idaho","This talk will give a brief overview of current research efforts on the U of I Experimental Forest aimed at understanding forest growth dynamics using multi-temporal airborne LiDAR, including fire impacts on tree growth.",Short Talk,sparks_gisday_2022.pdf,,
2022,A State Project to help PSAPs getting ready for NG9-1-1,Wilma Robertson,"Office of Information Technology Services, State of Idaho","The State received funding to help Public Safety Answering Points improve their GIS Data for five Core datasets to get Idaho ready to switch from E911 to NG9-1-1. Learn about the efforts currently underway.",Short Talk,roberson_gisday_2022.pdf,,
2022,A New Database Initiative for Geologic Mapping in Idaho,Nathan Hopkins,Idaho Geological Survey,"The Idaho Geological Survey publishes freely available geologic data, including geologic mapping, of interest to diverse stakeholders in Idaho. This talk will introduce an initiative to create a seamless 1:24,000-scale compilation of the geologic mapping of Idaho in a new geodatabase schema consistent with national standards.",Short Talk,hopkins_gisday_2022.pdf,,
2022,"Keeping Watch: Mapping Idaho's Fire Lookouts Through Lived Experience",Michael Decker,"CDIL and Confluence Lab, University of Idaho","Keeping Watch is a geo-spatial narrative project that locates oral history testimonies from former and current fire lookouts on a GIS interface. Its aim is to trace shifting perspectives of space/ place through the gaze of fire lookouts--both objectively as tower technology and subjectively as human presence.",Short Talk,,https://keeping.onrender.com/,
2022,"Standalone GPS devices - still relevant today?",Dave Pitney,"Geography, University of Idaho","With the widespread adoption of smartphones and their 'good enough' GPS capabilities, is there still a role for standalone GPS devices? It depends on the use case. Presentation will conclude with a preview of our digital topographic maps for Garmin GPS devices.",Short Talk,pitney_gisday_2022.pdf,,
2022,"Developing a Method for Quantifying the Thermal and Hydrologic Impacts of Beaver Habitat Using Thermal Infrared Imagery",Matthew Steinwurtzel,"Fish and Wildlife Sciences, University of Idaho","Historically, beaver-mediated habitat would have been a ubiquitous and multifunctional aspect of Idaho's river and riparian ecosystems. Beaver habitats have been demonstrated to increase groundwater exchange, maintain surface water during drought or low flows, and promote thermal heterogeneity by increasing groundwater and surface water exchanges. As climate change will continue to impact riparian habitat and riverine ecosystems through changes in precipitation and temperature, the identification of restoration activities for managers that promote and facilitate cold-water refuges for imperiled salmonids is critical. Using Thermal Infrared Imagery (TIR), we are developing a methodology that maps and models the thermal profile of salmonid-bearing watersheds. This applied methodology can be adopted and used to address the spatial and temporal limitations of typical large-scale riparian ecosystem investigations in other watersheds.",Short Talk,steinwurtzel_gisday_2022.pdf,,
2022,Cloud Optimized GeoTIFFs,Jennifer Hinds,"Research Computing and Data Services, University of Idaho","Rendering large raster images when developing web mapping applications can be a challenge. This is where Cloud Optimized GeoTIFFs (COGs) save the day.",Short Talk,hinds_gisday_2022.pdf,,
2022,"Getting Involved in the GIS Community",Kara Utter,Northern Rockies chapter of the Urban and Regional Information Systems Association,"This presentation will cover who NR-URISA and URISA are and what we do for the GIS Community. It will cover a little about our history, what our current focus is, and why it's important to get involved with professional GIS organizations like ours. I will also emphasize the importance for Students and Young Professionals to get involved to help network and make connections.",Short Talk,,https://www.nrurisa.org/,
2022,"Open source human rights investigations and their evidentiary implications",Matty Murphy,"International Studies, University of Idaho","This talk will present initial findings of research into how open source HR investigations are conducted, as well as the broader global implications of such investigations in the 21st century.",Short Talk,murphy_gisday_2022.pdf,,
2022,"Location sharing and geoprivacy preservation","Grant McKenzie","Spatial Data Science, McGill University, CA","Concern over the privacy of one's personal location is at an all-time high, yet the desire to share our lives with friends, family, and the public persists. Current approaches to sharing personal location information is often limited to sharing a single spatial resolution with all individuals, regardless of relation, and with little control over how this content is shared. In this talk I propose a set of design goals and a design pattern for sharing personal location information that are realized through a prototype mobile web application called PrivyTo.",Invited Speaker,mckenzie_gisday_2022.pdf,,
2022,"Geoprivacy and GIS: Avenues for Engagement",Dara Seidl,"Geographic Information Systems, Colorado Mountain College","GIS Day 2022 will mark twenty years since the release of Mark Monmonier's influential book on geospatial technology and privacy, *Spying with Maps*. What has changed in the geoprivacy world in the last twenty years? How have perceived geoprivacy risks from two decades ago panned out, and what new directions and concerns have emerged? This talk will identify evolving practices in the collection and stewardship of sensitive location data and address a lingering concern: how to engage future purveyors of spatial data in cultivating geoprivacy.",Keynote,seidl_gisday_2022.pdf,,
2022,"GIS Day @ U of I 2022 recording",U of I Library,,"Video from the live Zoom stream of all sessions, on YouTube.",Recording,,,https://youtu.be/fPmebL1BPfw
2022,"GIS Day @ U of I 2022 schedule",U of I Library,,"Web archive capture of GIS Day @ U of I page provides access to 2022 program and information.",Program,,https://perma.cc/27CD-U655,
2021,Mapping for Resilience: A storymap about using lidar to address Idaho's challenges,Tara Pozzi,"Environmental Policy and Behavior, UC Davis","Idaho will have publicly-available lidar data and lidar-derived products for 73% of the state by the end of 2021. With the influx of new data, there are many opportunities for local communities to use this information for natural hazard management, strategic development, and conservation, among other applications. The Storymap blends texts and visuals to explore lidar acquisition and implementation in Idaho. This information is intended for anyone that may want to use lidar or already uses lidar including GIS technicians, planners, engineers, academics, and artists, among others. We hope this is a place for Idahoans to learn about the usability of lidar and be inspired to use it towards forming a resilient Idaho.",Special Topic,pozzi_gisday2021.pdf,https://boisestate.maps.arcgis.com/apps/Cascade/index.html?appid=63fc0118b554441589d7793e1c38ff1d,
2021,Using GIS tools to track Sagebrush plant community resiliency,Georgia Harrison,"Plant Sciences, University of Idaho","A demonstration of using Google Earth Engine within Python to access rangeland plant cover data from the rangelands analysis platform (rangelands.app). We will track plant cover and assess how it has changed over time.",Short Talk,Harrison_GISDay2021.pdf,,
2021,Future Climate Analogs in the Climate Toolbox,Katherine Hegewisch,"Geography, University of California Merced","The Future Climate Analogs tool in the Climate Toolbox provides a map of current and future climate analogs for National Park locations in an attempt to understand the question 'Where do we find a climate today that will resemble the future climate of a location?'. We'll explore some climate stories with the tool.",Short Talk,2021_11_17_GISDay_Slides_Hegewisch.pdf,,
2021,"Food access and environment of vulnerable populations in the Treasure Valley, Idaho",Julie Hurdman,"Geography and Geological Sciences, University of Idaho","Blending the popular research topics of food deserts and swamps, we examine if vulnerable populations in the Boise Metropolitan Area are more likely to have ready access to nutrition-poor, calorie-dense foods.",Short Talk,gisday_2021_Hurdman.pdf,,
2021,"GIS Day @ U of I 2021 schedule",U of I Library,,"Web archive capture of GIS Day @ U of I page provides access to 2021 program and information.",Program,,https://perma.cc/SN8T-8EJY,
2020,"The effectiveness of the U-net on urban tree canopy mapping",Zhe Wang,"University of Idaho, Geography and Geological Sciences","In this study, we applied the U-net to urban tree canopy mapping, tested the effectiveness of the U-net in comparison with other approaches and assessed the performance and robustness of the U-net at different scales.",Short Talk,wang_gisday2020.pdf,,
2020,"Knowledge graphs for global and regional geologic time scales",Chao Ma,"University of Idaho, Computer Science","A knowledge graph for global and regional geologic time scales was created and stored in a SPARQL endpoint. An R package was developed for querying the knowledge from it.",Short Talk,chao_gisday2020.pdf,,
2020,"Predicting fine-scale forage distribution to inform ungulate nutrition",Ryan McCarley,"University of Idaho, Fish and Wildlife Sciences","Using segmented NAIP imagery, spatially explicit environmental variables, and field data we predicted fine-scale occurrence of 20 forage species for mule deer and Rocky Mountain elk across all of Idaho. Lasso logistic regression models provided high predictive accuracy, while validation at two University of Idaho affiliated research stations demonstrated the strengths and weakness of our approach.",Short Talk,mccarley_gisday2020.pdf,,
2020,"Integrating cultural identity, remote sensing and UAVs as a way of knowing: Drone Camp, butterflies and quemes",Karla Eitel & Marcie Carter,"University of Idaho, McCall Field Campus and Outdoor Science School, & Natural Resources and Society","This project explores the use of UAVs within the cultural context of the Nez Perce Tribe's management of fisheries and natural resources, integrating indigenous knowledge, community needs, education, and remote sensing.",Special Topic,keitel_carter_gisday2020.pdf,,
2020,"Forecasting futures for food, land, energy, and water systems supply chain and critical infrastructure",Dan Cronan,"University of Idaho, Center for Resilient Communities and Landscape Architecture","Food, food production, and the consequences of disrupted supply chains from COVID-19 have had resounding impacts on our social ecological systems and networks. The Center for Resilient Communities (CRC) at the University of Idaho and the Earth Systems Research Center at the University of New Hampshire developed a framework to analyze impacted areas at the national scale.",Special Topic,,https://arcg.is/1fLeWb0,
2020,"Adaptation of UAS Field Procedures - Living with Covid-19",Jennifer Gilley,"Alta Science and Engineering, Inc.","Alta has worked for several years now on their UAS program collecting imagery and LiDAR data. With the onset of Covid-19, it was necessary to adapt yet again to a changing environment and meet new challenges. We would like to discuss the advances in the program, but also how Alta has overcome outside challenges in the year of Covid-19.",Short Talk,gilley_gisday2020.pdf,,
2020,"Disparities in emergency medical service (EMS) response time for automobile crashes in Idaho","Skye Swoboda-Colberg","University of Idaho, Geography and Geological Sciences","This talk presents research comparing actual and predicted EMS response times in Idaho to identify potential service shortage areas, and compares the results to research in other States.",Short Talk,swoboda-colberg_gisday2020.pdf,,
