year,faculty,rank-promotion,book
2010,Gregory Turner-Rahman,"Associate Professor of Art and Design, with tenure","Making Comics, by Scott McCloud"
2010,Joan West,Professor of Foreign Languages and Literatures,"Cinema and the Second Sex:  Womens Filmmaking in France in the 1980s and 1990s, by Carrie Tar with Brigitte Rollet"
2010,Frank Wilhelm,"Associate Professor of Limnology, with tenure","Restoration and Management of Lakes and Reservoirs,  2005, 3rd edition, by G. Dennis Cooke, Eugene B. Welch, Spencer Peterson, and Stanley A. Nichols"
2010,Juliet Windes,"Associate Professor of Crop Management, with tenure","Wheat Science and Trade, by Brett Carver"
2009,Gustavo Arrizabalaga,"Associate Professor of Microbiology, Molecular Biology and Biochemistry, with tenure","Forgotten People, Forgotten Diseases: The Neglected Tropical Diseases and Their Impact on Global Health and Development"
2009,Lori Baker-Eveleth,"Associate Professor of Business, with tenure","The Great Good Place:  Cafes, Coffee Shops, Bookstores, Bars, Hair Salons, and other Hangouts at the Heart of a Community"
2009,Randall Brooks,Extension Professor and Clearwater County Extension Educator,"Alive and Kicking, by Rolf Benirschke"
2009,Mireille Chahine,"Associate Professor of Animal and Veterinary Science, with tenure","Biology of Lactation, (INRA)"
2009,Steven Chandler,Professor of English,Cultivating Humanity:  A Classical Defense of Reform in Liberal Education
2009,Barbara Cosens,"Associate Professor of Law, with tenure",Beyond the Hundredth Meridian: John Wesley Powell and the Second Opening of the West
2009,Benjamin Eborn,"Associate Extension Professor and Teton County Extension Educator, with tenure",Book of Mormon
2009,Kenneth Hart,Extension Professor and Lewis County Extension Educator,This House of Sky:  Landscapes of a Western Mind
2009,Brian Hopper,"Licensed Psychologist with rank of Associate Professor, with tenure",Harry Stack Sullivan:  Interpersonal theory and psychotherapy
2009,Jill Johnson,"Associate Professor of Microbiology, Molecular Biology and Biochemistry, with tenure","The Eighth Day of Creation:  The Makers of the Revolution in Biology (25th Anniversary Edition), by Horace Freeland Judson"
2009,Rhea Lanting,Extension Professor and Twin Falls Extension Educator,Intuitive Eating
2009,George Newcombe,Professor of Forest Resources,Rust Diseases of Willow and Poplar
2009,Michael ORourke,Professor of Philosophy,Studies in the Way of Words
2009,Barrie Robison,"Associate Professor of Biological Sciences, with tenure",Genetics and Analysis of Quantitative Traits
2009,Vern Sielert,"Associate Professor of Music, with tenure","Hotter than That: The Trumpet, Jazz and American Culture"
2009,Adam Sowards,"Associate Professor of History, with tenure",The Humboldt Current
2009,Judith Steciak,Professor of Mechanical Engineering,"Combustion Physics, by C.K. Law"
2009,Deborah L. Stenkamp,Professor of Biological Sciences,Angle of Repose
2009,Chris Thompson,"Associate Professor of Music, with tenure","Die Fledermaus, By Johann Strauss, Jr. (Musical score)"
2009,Lisette Waits,Professor of Fish and Wildlife Resources,Interdisciplinary Research: Process and Theory
2009,Hong Wang,Professor of Mathematics,"Modern Graph Theory, Bela Bollobas"
2009,Nancy Young,Reference Librarian with the rank of Professor,"Caddie Woodlawn, by Carol Ryrie Brink"
2008,Ahmed Abedel-Rahim,"Associate Professor of Civil Engineering, with tenure",Access to Destinations
2008,Nathan Bender,"Head, Special Collections with rank of Professor, with tenure",Mountain Man; a novel of male and female in the Early American West
2008,Christine A. Berven,"Associate Professor of Physics, with tenure",Transport in Nanostructures
2008,Jan Boll,Professor of Biological and Agricultural Engineering,Hydrology:  An Introduction by Wilfried Brutsaert
2008,Bradford Brown,Extension Professor of Soil Science and Crop Management,"American Society of Agronomy Monograph No. 30, 2nd ed., Irrigation of Agricultural Lands"
2008,Shauna Corry,"Associate Professor of Architecture, with tenure",Interior Design:  Practical Strategies for Teaching and Learning (2008)
2008,Traci Craig,"Associate Professor of Psychology, with tenure",Never a Dull Moment: Teaching and the Art of Performance
2008,Gregory Donohoe,"Research Associate Professor of Electrical and Computer Engineering, with tenure","Digital Image Processing, 3rd ed."
2008,Sandra Evenson,Professor of Family and Consumer Sciences,Dress Sense:  Emotional and Sensory Experiences of the Body and Clothes
2008,Michael Greenlee,"Access Services/reference Law Librarian with rank of Associate Professor, with tenure",Peace is Every Step
2008,Ronda Hirnyck,"Associate Extension Professor and Extension Educator, with tenure",Sand County Almanac
2008,Karen Humes,Professor of Geography,"Earth in Mind: On Education, Environment, and the Human Prospect, 2nd ed."
2008,Mary Ann Judge,"Senior Instructor of English, with tenure",Heavens Coast
2008,Sherry McKibben,"Associate Professor of Architecture, with tenure",Ecocities
2008,John Mihelich,"Associate Professor of Sociology and Anthropology, with tenure",The Sacred Canopy:  Elements of a Sociological Theory of Religion
2008,James Nagler,Professor of Zoology,The Freshwater Fishes of British Columbia
2008,Scott Nuismer,"Associate Professor of Biology, with tenure",A Biologists Guide to Mathematical Modeling in Ecology and Evolution
2008,Madison Powell,"Associate Professor of Animal and Veterinary Science, with tenure",The Old Man and the Sea
2008,Steve Saladin,Licensed Psychologist with rank of Professor,"Handbook of Psychological Assessment, 4th ed."
2008,John Sullivan,Professor of Zoology,Origin of the Species
2008,Akira Tokuhiro,"Associate Professor of Mechanical Engineering, with tenure",The Doctors Wife
2008,Eva Top,Professor of Biological Sciences,The Fair Face of Flanders
2008,Kerri Vierling,"Associate Professor of Wildlife Resources, with tenure",The Five People you Meet in Heaven
2008,Lee Vierling,"Associate Professor of Spatial Ecology, with tenure","To Kill a Mockingbird, by Harper Lee"
2008,Barbara Williams,"Associate Professor of Biological and Agricultural Engineering, with tenure",Applied Fluid Mechanics
2007,D. Eric Aston,"Associate Professor of Chemical Engineering, with tenure","Atomic Force Microscopy, Scanning Nearfield Optical Microscopy and Nanoscratcing: Application to Rough and Natural Surfaces"
2007,John C. Crepeau,Professor of Mechanical Engineering,Hydrodynamic Stability
2007,Charles W. Gagel,"Associate Professor of Professional Technical &amp; Technology Education, with tenure",The Education Gospel: The Economic Power of Schooling
2007,Donna Gillespie,"Associate Extension Professor and Extension Educator, with tenure",The Horse Interlude
2007,Dale T. Graden,Professor of History,The Overthrow of Colonial Slavery 1776-1848
2007,Gregory J. Halloran,"Associate Professor of Dance, with tenure",Doris Humphrey: The Collected Works Volume 1
2007,Klaus Jorde,"Professor of Civil Engineering, with tenure",Renewable Energy
2007,Axel W. Krings,Professor of Computer Science,"Probability and Statistics with Reliability, Queuing, and Computer Science Applications"
2007,J. David Lee-Painter,Professor of Theatre &amp; Film,With our Good Will: 30 Years of Shakespeare in Idaho
2007,David McIlroy,Professor of Physics,Ceramic Materials: Science and Engineering
2007,Russell A. Miller,"Associate Professor of Law, with tenure",Transboundary Harm in International Law: Lessons from the Trail Smelter Arbitration
2007,Michael P. Nelson,Associate Professor of Philosophy,The Pine Island Paradox
2007,Sarah M. Nelson,"Associate Professor of Foreign Languages &amp; Literatures, with tenure",Collins-Robert French-English Dictionary
2007,Laura L. Sant,"Associate Extension Professor &amp; Extension Educator, with tenure",Intuitive Eating
2007,Kathleen J. Tifft,"Associated Extension Professor &amp; Nez Perce County Extension Educator, with tenure",A Framework of Understanding Poverty or Bridges out of Poverty
2006,Diane Armpriest,"Associate Professor of Architecture, with tenure","Building construction: Principles, Materials & Systems"
2006,Leah Bergman,"Associate Professor of Physics, with tenure",Metal Oxide Chemistry and Synthesis: From Solution to Solid State
2006,Robert Caisley,"Associate Professor of Theatre &amp; Film, with tenure",Subsequent Performances
2006,Lisa J. Carlson,Professor of Political Science,Arms and Influence
2006,Sanford Eigenbrode,Professor of Entomology,Insects and the Plant Surface
2006,Jerry Fairley,Associate Professor of Hydrogeology,Don Quixote
2006,Fritz Fiedler,"Associate Professor of Civil Engineering, with tenure","To Kill a Mockingbird, by Harper Lee"
2006,Robert Heckendorn,"Associate Professor of Computer Science, with tenure",Ishmael
2006,Herbert Hess,Professor of Electrical Engineering,"Switching Power Supply Design, Second Edition"
2006,Rod Hill,"Associate Professor of Growth Biology, with tenure",Biology of Growth of Domestic Animals
2006,Armando McDonald,"Professor of Forest Products, with tenure","Wood Modification: Chemical, Thermal and Other Processes"
2006,Nils Olof Pellmyr,Professor of Biology,Annals of the Former World
2006,Richard Seamon,"Professor of Law, with tenure","Marcel Proust, Remembrance of Things Past"
2006,Markus Tuller,"Associate Professor of Agricultural Economics, with tenure",Soil-Water-Solute Process CharacterizationAn Integrated Approach
2006,Cheri Vasek,"Associate Professor of Theatre &amp; Film, with tenure",Miodrag Tabacki
2006,Richard Wells,Professor of Electrical Engineering,Critique of Pure Reason by Immanuel Kant (Cambridge Edition)
2006,J.D. Wulfhorst,"Associate Professor of Agricultural Economics, with tenure","Building Sustainable Communities, Environmental Justice & Global Citizenship"
