category,question,answer
Requests,How do the students access the materials?,The Reserve list can be accessed from any of the university computer labs or from their home computers. They will need to have the latest Adobe Reader version loaded. The materials can be read on-line and/or printed. An advantage of accessing them from the university computer labs is that it allows them to use the print quota they are allocated each semester.
Requests,What are the advantages of Ereserve over In-library Reserve?,The students can access the material at any time of the day from any available Internet connection and don't have to worry about the file being checked out when they need it. They can also use the file however long they would like without being concerned about late fees accruing.
Limitations,How many items can I put on Reserve for each class?,"Only 5 items per week can be submitted during peak times. Otherwise, you may request any reasonable amount of items for your class size and just indicate which need to be processed first. A guideline would be 15 to 30 per class."
Limitations,How much out of one book or journal issue can I use within fair use?,"One chapter from a book or 10%, whichever is LESS, and up to two articles from a particular issue of a journal. See ""How to"" for further details. Use of more than this would require requesting permission from the publisher."
Timing,When should I submit materials ready for scanning?,It depends on the number of items. A general rule would be to allow at least a week from the date the students will need it. During peak periods allow more time and indicate priority in groups of five items or less.
Timing,When should I submit my reading list?,It depends on the size of the list. A general rule would be to allow at least two weeks from the date the students will need it. During peak periods allow more time and indicate priority in groups of five items or less. It is advisable to check the UI catalog first to determine what we do and do not own. Any materials that we don't own will need to be provided by you.
Timing,"If my students need the materials right away, can you just put them on In-Library Reserve and then scan them later?","Due to demand and time constraints, materials left without ample time will be put on In-Library reserve only. Be sure to allow enough lead-time and submit copies that are ready for scanning or use materials available electronically (see Electronic Materials, below)."
Scanning / Submissions,"What do you mean by ""submit only materials ready for scanning""?","We need you to supply originals or clean, one-sided copies that include the complete source (copies of the title pages). Please let us know whether you do or don't want your copies returned."
Scanning / Submissions,"What do you mean by ""complete sources"" and what's the easiest way to provide it?","We are required to have the complete citation for either type of Library Reserve, just as you would have to cite them in a published bibliography submission. The complete source has to be available on any copies submitted for Reserve, not just listed on your request form or reading list. Copying the two title pages in the front of a book or the title page of the particular journal issue is usually the best way to accomplish this."
Scanning / Submissions,How are the materials obtained and scanned for Ereserve?,"They are obtained from your sources or the UI Library and are scanned as clean, one-sided copies or from the original. We currently have one scanner in operation for the Reserve department."
Scanning / Submissions,"Once my materials are scanned, will I be able to edit the images or copy them to another file?","No, they will come up as pdf files in Adobe Acrobat. This protection is required and primarily designed to assure that they are only used by the individual student."
Scanning / Submissions,Where will my scanned material be stored if I choose to use it again?,We keep previously used materials on CDs for 3 years/ 6 semesters in case of future need. Please indicate if we've used the item for you previously on Ereserve for this class or another so it can be retrieved from the CD.
Electronic Materials,How do I find items that are available electronically?,"Files created by you or found from your electronic subscriptions can be sent as an email attachment as pdf or Microsoft Word files. They would need to include complete sources if they are published materials, or for unpublished works, written permission from the author if the author is not you. Full text journal articles can be found from the Library home page through ""find articles/general interest"" or just by searching the UI catalog. Watch for the ""full text available"" indication next to the item. Please indicate if you know an item is available as a direct link and we will create the link from here."
Electronic Materials,Why are electronically available items preferable to use?,Most items that can be directly linked to the Ereserve site do not require copyright permission when used for subsequent semesters due to the Library owning subscription rights. They are also much quicker to add to the Ereserve system.
Copyright,Why do some of the files have to be password protected?,Due to federal copyright restrictions we need to restrict the use to only the students that are enrolled in the class on most published works. We can also apply this password protection to your individual materials if you wish. Students will use their normal UI NetID receive access. Please encourage your students to ask for help in the library if they have any problems with the Reserve System.
Copyright,Do I have to go through the same copyright permission process as I would for a course packet?,"No, we take care of pursuing permissions, but only if you are using the materials for more than one semester for the same class. Because we are not creating a new document by compiling all your readings, nor providing printed copies for each student we are able to use the materials for one semester as educational fair use and are not required to seek permission."
Copyright,Does the publisher have to give permission to have materials available electronically?,"Yes, but only after the first semester of use and only on items we don't have the ability to directly link legally, i.e. via subscription rights."
Copyright,Do I need to seek copyright permission and who pays for it?,"No you don't. We prefer to do that, after the initial semester of fair use, so we are sure that the permission specifically covers the use. At the present time, the University of Idaho Library is paying for these costs. The charges for electronic postings are currently running 3 to 4 times as much as In-library Reserve items and are usually good for one semester only. They are based on the number of pages and the number of students in the class, along with the individual fee assigned by the various publishers. Occasionally we are simply turned down. As an author submitting materials for publication you may want to negotiate your ownership rights, when possible, if you foresee wanting to use the materials in your teaching to avoid this potential problem."
Copyright,When will I know if permission has been granted?,Usually within a few weeks we will be notified of their terms. Sometimes we don't get responses from the publishers until later in the semester. We will notify you by email if there are problems and suggest other ways to provide the materials for your students.
Copyright,Why do I need written permission to use students' work (or any unpublished work that is not my own)?,The Family Educational Rights and Privacy Act of 1974 (FERPA) protects any use of student papers without their written permission. The permission form is available from the Reserve home page. There are always copyright implications when using unpublished materials not authored by the user.
