last,first,id,dept,rank,pub,publoc,publink,pubtype,deptid
Rachlow,Janet,pid990107,Fish and Wildlife Sciences,Professor,Unmanned aerial systems measure structural habitat features for wildlife across multiple scales,Methods in Ecology and Evolution,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/2041-210X.12919,article,n31372
Rasco,Barbara,n8528,Food Science,Professor,"Quality Changes in Chum Salmon (Oncorhynchus keta) Caviar (ikura) Affected by Thermal Pasteurization, Storage Time, and Packaging Material",Journal of Aquatic Food Product Technology,https://www.tandfonline.com/doi/full/10.1080/10498850.2017.1417340,article,n29953
Shreeve,Jean'ne,a381555586651555,Chemistry,Distinguished Professor,"A Safer Synthesis of 3,5-Bis(dinitromethyl)-1,2,4-triazole (BDT) and Its Mono and Di Salts: High-Performance Insensitive Energetic Materials","Propellants, Explosives, Pyrotechnics",https://onlinelibrary.wiley.com/doi/abs/10.1002/prep.201700163,article,n6506
Son,Julie,pid57155,Movement Sciences,Associate Professor,Using outdoor adventure to enhance intrinsic motivation and engagement in science and physical activity: An exploratory study,Journal of Outdoor Recreation and Tourism,https://www.sciencedirect.com/science/article/pii/S2213078018300082?via%3Dihub,article,n7928
Teague,Alexandra,n46345,English,Associate Professor,Bullets into Bells: Poets and Citizens Respond to Gun Violence in the U.S.,Beacon,https://bulletsintobells.com/,book,n41165
Tonina,Daniele,n1138,Civil Engineering,Associate Professor,A hierarchical modelling framework for assessing physical and biochemical characteristics of a regulated river,Ecological Modelling,https://www.sciencedirect.com/science/article/pii/S0304380017304659?via%3Dihub,article,n22895
Turpin,Zachary,n42305,English,Assistant Professor,Introduction to Walt Whitman's 'Manly Health and Training',Walt Whitman Review,https://ir.uiowa.edu/cgi/viewcontent.cgi?article=2205&context=wwqr,publication,n41165
Vaughn,Margaret,n9735,Curriculum & Instruction,Associate Professor,Guided Reading Library,University of Idaho Library's Digital Collections,https://www.lib.uidaho.edu/digital/guidedreading/index.html,project,n1232
Vierling,Lee,a2951795786855,Natural Resources and Society,Professor,Impacts of Airborne Lidar Pulse Density on Estimating Biomass Stocks and Changes in a Selectively Logged Tropical Forest,Remote Sensing,http://www.mdpi.com/2072-4292/9/10/1068,article,n39633
Waits,Lisette,n1683,Fish and Wildlife Sciences,Distinguished Professor,"Assessment of genetic diversity, population structure, and gene flow of tigers (Panthera tigris tigris) across Nepal's Terai Arc Landscape",PLOS ONE,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0193495,article,n31372
Xiao,Fangming,n2088850120,Plant Sciences,Associate Professor,Functional analysis of the seven in absentia ubiquitin ligase family in tomato: Analysis of SINA ubiquitin ligases in tomato,"Plant, Cell and Environment",https://onlinelibrary.wiley.com/doi/abs/10.1111/pce.13140,article,n166226
