category,question,answer
Reproductions & Permissions,How much do digital scans cost?,The price of digital scans varies depending on the type of material being reproduced. Refer to the fees portion of our [Reproductions and Use Policy](/special-collections/policies.html#reproduction-requests) for a detailed breakdown of our fees.
Reproductions & Permissions,How can I get a digital file of an analog video?,"Unfortunately, we do not offer this service at this time."
Reproductions & Permissions,Do I need to obtain permission to publish materials from your collections?,"Yes, you do need to obtain permission to publish materials from our collections, and we cannot always grant permission. When we accept materials, we agree to house them, but the original owner retains copyright and intellectual property of the materials. For this reason, we cannot grant or deny permission to publish or otherwise distribute materials if we do not hold the copyright to them. If the materials fall under the legal category of public domain, you may publish or distribute them freely.

Users are solely responsible for ensuring that they are observing Fair Use as defined in the United States Copyright Act.

Also see, ""How do I cite primary sources"" question in the FAQ or our full [Citation Policy](/special-collections/citation.html)."
Donations,Can I donate materials?,"We do accept some donations of materials, yes. We primarily collect materials relating to the University of Idaho, the state of Idaho, the history of jazz, and in some cases materials relating to the larger Pacific Northwest region. We accept books, manuscripts, archival materials, photographs, and sometimes artifacts that fit our collecting scope. Please [contact us](/special-collections/about.html) for all donation inquiries and we will assess the appropriateness of your materials for our collections. Please beware that we are not able to accept everything offered, but we may be able to point you to another archival repository that may be interested in your materials."
Donations,Do you want my old yearbook?,"We have several full sets of Gem of the Mountains. However, we would gladly accept any scrapbooks or diaries from students who attended the university, or photographs of campus or Moscow.

We also collect materials supporting our other university collections too, including student groups and Greek organizations. If you have something to donate, please [contact us](/special-collections/about.html)."
Donations,Can I donate money?,"Archival collections frequently need cash donations to enable timely processing and underwrite the costs of long-term high security storage. Such funds are used to organize, maintain, and care for our collections so that they may be preserved and made available for future generations.

Gift funds may be used to honor an individual, a family, a company, or an organization, and the Library will work with donors to employ appropriate means to publicly acknowledge donations. To discuss setting up endowments or bequests, please contact Ben Hunter, Dean of University of Idaho Library, at <bhunter@uidaho.edu> or call (208) 885-5858. More information is also available on the [Giving website](https://www.lib.uidaho.edu/giving/)."
Instruction,Can I bring my class to visit or tour Special Collections & Archives?,"We are happy to have your class visit our [Reading Room](/special-collections/plan.html) where we can show materials from our collections to demonstrate our holdings and discuss what we do as archivists. We are also happy to work with professors to support class projects and assignments. Although we do not typically provide tours around our secure storage area, we can make exceptions for small groups or graduate classes. Please [contact us](/special-collections/about.html) or email Robert Perret directly to discuss instruction opportunities."
Instruction,I'm a professor who wants to incorporate primary sources on local and state history in my class this semester. Can you help me?,We gladly support professors in using Special Collections and Archives materials in their classes. We offer one off instruction sessions and more in-depth support for class assignments. Fill out our brief [Instruction Request Form](https://uidaho.co1.qualtrics.com/jfe/form/SV_d5NQ5VRSqnjOPRj) and we will be in contact shortly about how we can support your class.
International Jazz Collections,What are the International Jazz Collections (IJC)?,"The International Jazz Collections (IJC) was formally established at the University of Idaho in 2000, featuring papers and photographs of jazz vibraphonist and bandleader Lionel Hampton. The IJC merged with the University of Idaho Library's Special Collections & Archives department in 2007. It is now the preeminent jazz archive in the Pacific Northwest."
International Jazz Collections,Why is it at the University of Idaho?,"Starting in 1984, the University of Idaho developed a strong relationship with jazz vibraphonist Lionel Hampton when he performed at the yearly jazz festival. This relationship led to the jazz festival and the school of music being named after Hampton, and him performing at the festival every year. In 1992, Hampton donated his papers to the University of Idaho with the hope that other jazz artists would contribute and it would be one of the significant jazz archives in the world. In 2000, the IJC was formally established and today holds materials from several great jazz artists, including Al Grey, Ray Brown, Pete and Conte Candoli, and Dizzy Gillespie.

You can find more about IJC and what it includes at our [International Jazz Collections](https://ijc.uidaho.edu) website."
International Jazz Collections,What is in the International Jazz Collections?,"The IJC consists of over 500 scores and arrangements, 10,000 recordings, 45 cubic feet of letters and papers, 5,000 photographs, and more belonging to notable jazz artists."
International Jazz Collections,How do I access IJC materials?,You can search for IJC materials by using our many [Research Tools](/special-collections/searchtools.html). You are welcome to view materials in our [Reading Room](/special-collections/plan.html) or [contact us](/special-collections/about.html) regarding digital scans.
Offensive Content,Why is there offensive language on your website?,"Archival materials are historical documents that are a product of the time and place they were created. In some cases archival collections reflect actions, language, and attitudes that are offensive. Because such content is historical, we do not change it, but we strive to give appropriate context to the material.

To learn more about how we address offensive content check out our [Offensive Content Policy](/special-collections/policies.html#offensive-material-in-archival-collections)."
Offensive Content,I found offensive content that's not flagged. How can I let you know?,You can let us know by filling out our [Feedback Form](https://forms.office.com/Pages/ResponsePage.aspx?id=Y2u8fpJXGUqyCwS4JgSIU3fn1ZT2uFVAhbeq68ZolZtUQ0FVNEdKVEIyVFhaUFFWTlgxN1pUVjE3Qy4u). Please also see our [Offensive Content Policy](/special-collections/policies.html#offensive-material-in-archival-collections) for more information about how we handle offensive contact and combat offensive language in our current practices.
Give Us Feedback,I found inaccurate/missing information on one of your digital photos or finding aids. How can I let you know?,We know we sometimes make mistakes and are always seeking to improve. If you catch anything you think may be inaccurate or missing from a description please let us know by filling out our [Feedback Form](https://forms.office.com/Pages/ResponsePage.aspx?id=Y2u8fpJXGUqyCwS4JgSIU3fn1ZT2uFVAhbeq68ZolZtUQ0FVNEdKVEIyVFhaUFFWTlgxN1pUVjE3Qy4u).
Fun Facts!,What's the oldest object in Special Collections?,We have a few [ancient Babylonian tablets](https://harvester.lib.uidaho.edu/posts/2014/06/13/babylonian-clay-tablet.html) with hieroglyphic writing on them! We believe they came to us through an archaeology professor who worked here. 
Fun Facts!,What is your earliest bound manuscript book?,Our earliest bound manuscript book is titled [*Dialogorum libri quattuor*](https://alliance-uidaho.primo.exlibrisgroup.com/permalink/f/m1uotc/CP71161030930001451) from 1492.
Fun Facts!,How much stuff do you have?,"We have over 25,000 linear feet of archival materials! That's equivalent to over 4.7 miles of materials!"
